X,Y,ux,uy,sigma_xx,sigma_yy,sigma_xy,strain_xx,strain_yy,strain_xy,magnitude
1.3131313,3.838384,0.0033484623,-0.014813893,-2.5023339,-0.14444122,-4.32633,-0.00014805279,5.6297915e-05,-0.0007498972,0.015187614
1.3131313,3.878788,0.003923878,-0.014817022,9.408556,0.51301545,-1.9410392,0.0005574474,-0.00021349954,-0.0003364468,0.015327783
1.3131313,3.9191918,0.0045101233,-0.014831461,22.122412,1.0926589,-0.6217599,0.0013136838,-0.00050889474,-0.00010777172,0.015502047
1.3131313,3.959596,0.005100962,-0.0148586705,35.19963,1.1822664,-0.16740166,0.0021047054,-0.0008434663,-2.9016286e-05,0.015709866
1.3131313,4.0,0.005692892,-0.0149002075,48.574203,0.7315612,-0.062278617,0.0029278144,-0.0012185479,-1.079496e-05,0.015950711
1.3636364,0.04040404,-0.00027247518,1.0035932e-05,-48.17393,-102.609566,-6.370781,-0.0002547029,-0.0049724584,-0.0011042687,0.00027265993
1.3636364,0.08080808,-0.00031105056,-0.000191167,-47.81001,-102.70573,-6.7278666,-0.00023012508,-0.004987754,-0.0011661636,0.000365099
1.3636364,0.121212125,-0.0003501661,-0.00039301068,-47.438927,-102.80028,-7.090569,-0.0002051542,-0.0050031384,-0.001229032,0.0005263779
1.3636364,0.16161616,-0.00038976595,-0.00059545785,-47.062656,-102.89611,-7.4590216,-0.00017983573,-0.005018735,-0.001292897,0.0007116794
1.3636364,0.2020202,-0.00042990968,-0.0007985383,-46.683228,-102.995415,-7.8334126,-0.00015423461,-0.005034625,-0.0013577915,0.00090691005
1.3636364,0.24242425,-0.00047061592,-0.0010022968,-46.302834,-103.09998,-8.214034,-0.00012843881,-0.005050859,-0.0014237659,0.0011072842
1.3636364,0.28282827,-0.0005118735,-0.0012066886,-45.923763,-103.2108,-8.6013565,-0.00010256077,-0.0050674374,-0.0014909017,0.0013107677
1.3636364,0.32323232,-0.00055364147,-0.0014117733,-45.54836,-103.32808,-8.995962,-7.67372e-05,-0.005084313,-0.0015593001,0.0015164507
1.3636364,0.36363637,-0.0005960725,-0.0016175508,-45.179214,-103.45185,-9.398676,-5.11241e-05,-0.0051014195,-0.0016291037,0.0017238832
1.3636364,0.4040404,-0.0006390102,-0.001823999,-44.81861,-103.58091,-9.810558,-2.5891908e-05,-0.005118625,-0.0017004968,0.0019326941
1.3636364,0.44444445,-0.00068255514,-0.0020311624,-44.46878,-103.71383,-10.232872,-1.213049e-06,-0.005135784,-0.0017736978,0.002142779
1.3636364,0.4848485,-0.00072661415,-0.0022390708,-44.131615,-103.848564,-10.667104,2.2744813e-05,-0.005152724,-0.0018489645,0.002354019
1.3636364,0.5252525,-0.0007712506,-0.0024475753,-43.80843,-103.982735,-11.114926,4.5839795e-05,-0.005169267,-0.0019265872,0.0025662137
1.3636364,0.56565654,-0.00081643835,-0.0026567504,-43.49971,-104.11349,-11.578108,6.796843e-05,-0.0051852264,-0.002006872,0.0027793695
1.3636364,0.6060606,-0.0008620806,-0.0028665662,-43.20509,-104.23826,-12.058354,8.908596e-05,-0.0052004554,-0.0020901146,0.0029933902
1.3636364,0.64646465,-0.0009082183,-0.0030769631,-42.923096,-104.35462,-12.557227,0.000109218854,-0.005214846,-0.002176586,0.0032082025
1.3636364,0.68686867,-0.0009548031,-0.0032879636,-42.651016,-104.46088,-13.075848,0.0001284879,-0.005228367,-0.0022664801,0.0034237923
1.3636364,0.72727275,-0.0010018796,-0.003499478,-42.384975,-104.556755,-13.614695,0.0001471204,-0.0052411,-0.0023598804,0.00364007
1.3636364,0.7676768,-0.001049336,-0.003711462,-42.119846,-104.64351,-14.173222,0.00016546078,-0.005253257,-0.0024566918,0.003856949
1.3636364,0.8080808,-0.0010973141,-0.0039239973,-41.84942,-104.72485,-14.74971,0.0001839817,-0.0052652233,-0.0025566164,0.004074537
1.3636364,0.8484849,-0.0011456832,-0.00413692,-41.56695,-104.80714,-15.340992,0.0002032573,-0.005277559,-0.0026591052,0.004292633
1.3636364,0.8888889,-0.0011945367,-0.004350409,-41.26644,-104.89892,-15.942585,0.00022387436,-0.00529094,-0.0027633812,0.004511427
1.3636364,0.9292929,-0.0012439005,-0.004564509,-40.94509,-105.0078,-16.55013,0.00024620077,-0.0053059007,-0.0028686894,0.004730965
1.3636364,0.969697,-0.0012938343,-0.004779175,-40.607864,-105.136406,-17.161701,0.00027000305,-0.0053224713,-0.0029746948,0.004951214
1.3636364,1.010101,-0.0013443194,-0.0049946457,-40.271122,-105.27471,-17.781366,0.000294028,-0.005339617,-0.0030821033,0.005172396
1.3636364,1.050505,-0.001395274,-0.0052107126,-39.95873,-105.400024,-18.419867,0.00031623768,-0.0053553414,-0.0031927768,0.0053942855
1.3636364,1.0909091,-0.0014467873,-0.005427316,-39.68331,-105.49018,-19.088144,0.00033529036,-0.0053679715,-0.0033086115,0.0056168456
1.3636364,1.1313131,-0.0014986582,-0.005644433,-39.427353,-105.547104,-19.785505,0.00035229867,-0.0053780796,-0.0034294876,0.00584
1.3636364,1.1717172,-0.0015508235,-0.0058619455,-39.15782,-105.60206,-20.496552,0.000370079,-0.0053884215,-0.0035527353,0.0060636178
1.3636364,1.2121212,-0.0016034767,-0.006079875,-38.867256,-105.687355,-21.204832,0.00038992445,-0.0054011513,-0.0036755044,0.0062877676
1.3636364,1.2525252,-0.0016564913,-0.006298475,-38.57997,-105.807106,-21.907932,0.00041046657,-0.0054158852,-0.003797375,0.006512661
1.3636364,1.2929293,-0.0017099679,-0.006517552,-38.31959,-105.93981,-22.616718,0.00042971337,-0.0054307063,-0.003920231,0.0067381356
1.3636364,1.3333334,-0.0017637834,-0.0067372397,-38.090275,-106.06164,-23.34385,0.00044679263,-0.005444059,-0.0040462674,0.0069642896
1.3636364,1.3737373,-0.0018179975,-0.006957419,-37.88535,-106.16229,-24.096111,0.00046184208,-0.005455494,-0.004176659,0.007191022
1.3636364,1.4141414,-0.0018725209,-0.0071780756,-37.699093,-106.24365,-24.874437,0.00047525697,-0.0054652723,-0.004311569,0.0074182954
1.3636364,1.4545455,-0.001927238,-0.0073990673,-37.53034,-106.31226,-25.677248,0.00048727865,-0.0054738224,-0.004450723,0.0076459427
1.3636364,1.4949495,-0.001982171,-0.007620394,-37.381657,-106.374214,-26.502762,0.0004979093,-0.005481446,-0.004593812,0.00787397
1.3636364,1.5353535,-0.0020373724,-0.007842027,-37.25695,-106.4326,-27.350172,0.000506993,-0.005488231,-0.0047406964,0.008102362
1.3636364,1.5757576,-0.0020926893,-0.008063868,-37.16036,-106.487915,-28.21948,0.0005142909,-0.0054940977,-0.0048913765,0.008330985
1.3636364,1.6161616,-0.0021481402,-0.008285947,-37.095394,-106.53844,-29.111387,0.0005195457,-0.005498852,-0.0050459737,0.008559873
1.3636364,1.6565657,-0.0022036768,-0.008508183,-37.064453,-106.58071,-30.026905,0.0005225221,-0.005502221,-0.0052046636,0.008788935
1.3636364,1.6969697,-0.002259221,-0.008730568,-37.068977,-106.61047,-30.96728,0.0005230214,-0.005503909,-0.005367662,0.009018143
1.3636364,1.7373737,-0.0023146942,-0.0089529455,-37.10908,-106.62235,-31.933558,0.0005208968,-0.0055035865,-0.00553515,0.009247326
1.3636364,1.7777778,-0.0023700073,-0.009175241,-37.18425,-106.61112,-32.92664,0.0005160448,-0.0055009513,-0.0057072844,0.009476391
1.3636364,1.8181819,-0.002425231,-0.0093973875,-37.29308,-106.571365,-33.94699,0.0005084088,-0.00549571,-0.005884145,0.009705289
